experiment,run,event
18,1037,22458494
18,1433,7628926
18,2395,26880391
18,1779,23403731
18,1063,19196936
18,963,26664760
18,830,1363783
18,1198,2649858
18,1215,61301554
18,1827,39523402
18,95,42588064
18,112,1583418
18,1988,2016940
18,1685,20401758
18,1062,20833594
18,81,1393042
18,2886,7575491
18,2401,15225081
18,1224,13559113
18,2321,7645080
18,1395,6859065
18,888,1160581
18,2817,14028142
18,2922,3501343
18,749,9529681
18,2659,24576979
18,907,25180384
18,2960,794678
18,2396,7053527
18,1243,4281624
18,269,3911505
18,2384,17055572
18,2735,26169696
18,347,30262163
18,234,16854013
12,4915,19959048
12,3754,11694568
12,2212,2887160
12,3309,9885210
12,2422,5014757
12,4309,33761412
12,5000,2761300
12,1916,5200496
12,1916,18568514
12,1480,3316001
12,2303,4006889
12,1923,8766841
12,1867,932998
18,2728,1244746
18,771,7076928
18,1808,10272398
18,383,743470
18,2885,18735377
20,636,692875
20,749,4640918
20,749,32168928
20,738,21013295
22,156,15087751
22,139,55095580
22,362,12371375
22,117,4416606
22,156,43524145
22,139,45458931
22,54,9734494
22,364,113315083
22,159,13168610
14,1543,71526162
14,2047,12479392
14,2000,8748954
14,1205,5563678
14,924,9641755
10,5000,1319051
10,5000,901058
12,2739,37645307
24,1838,1972899
24,1818,37307962
24,1677,9400300
24,1677,3989074
24,1758,19797308
24,1646,5682798
24,1590,1616856
24,1747,1149242
24,2185,25357687
24,2166,3682463
24,2092,21610577
24,2037,18490318
24,2185,17525708
24,2185,21245376
24,2177,5255310
18,181,45255928
18,201,5053688
18,2849,15511207
18,2946,14418509
18,2252,42345994
18,980,2043399
12,5000,5557696
12,2844,26449255
14,1162,12945242
14,2135,427405
16,584,25513276
24,2177,44856607
24,2183,66336788
24,2217,3284260
24,2238,6872817
24,2217,5920924
24,2063,6828640
24,2081,54400566
24,2093,43904013
24,2140,2225082
24,2116,13918303
24,2252,2765381
24,2250,1126207
24,2084,8992136
26,1023,3106196
26,969,567381
26,969,7078000
18,875,5585296
18,843,15794318
18,1435,5488653
18,833,12283608
18,137,22979853
18,1448,19654453
18,944,28858357
18,1394,63609776
22,353,2541638
17,171,44292549
17,132,64535637
26,1376,12463667
26,989,5918009
26,570,7852951
26,648,22534780
26,91,13217104
26,1261,3343250
26,648,4289547
26,668,680121
26,1464,3693503
26,1688,5776621
26,1792,3071657
26,1460,928553
26,1816,11178382
22,416,6051053
24,992,35216801
24,825,14325328
24,808,19447790
24,866,19366377
24,816,23228490
24,855,12667361
24,814,19386722
24,935,5437212
24,866,7529916
24,866,58079240
24,980,15131411
24,983,16468214
24,808,24811541
12,1651,1959498
12,5000,40289231
12,4442,2430104
12,3399,15462261
12,2843,1721630
14,868,2295715
14,901,15709577
14,922,24934355
14,1002,265743
14,1105,1962694
17,332,633219
17,278,64302546
17,341,46837197
17,341,41379636
17,318,1637709
17,108,9492279
18,2867,1903031
18,905,22517503
24,956,52670204
24,956,18696834
24,926,721104
24,983,6373001
24,924,1569593
24,796,12231822
24,996,370326
24,947,12636548
24,1153,138646
24,1191,29883629
24,1344,15702222
24,1176,4559136
24,1404,8938421
24,1299,10251886
24,1236,12098298
24,1447,38365493
24,1307,7442781
24,1263,11779610
24,1882,9040819
24,1763,8406882
24,1575,9213307
24,1866,31243191
24,1873,10041281
24,1744,17498148
24,1641,5194082
24,1901,25494328
24,1913,266785
24,1571,28050553
24,1836,32857431
24,1601,160908
24,1554,9333134
14,1750,20149876
14,1149,11856842
14,1543,39791976
14,899,11698832
14,1165,569517
16,671,5628241
16,1116,60455095
16,1099,18909917
16,691,13002709
16,1119,50635105
12,2848,34302064
8,1242,15359929
8,1217,13966019
22,551,58303619
22,373,74773283
22,622,5862006
22,511,3812414
22,521,27481125
22,568,30651195
22,499,14787646
22,604,14439007
22,595,41399041
22,600,25570249
22,647,8298008
22,407,14674752
12,2555,8763559
12,5000,21386760
12,5000,9517226
12,5000,5311145
12,2248,1037480
12,5000,2469536
12,2337,2822893
12,2859,9743745
12,2859,32367622
12,4407,30028649
12,5000,1716726
12,5000,22990546
12,2880,5744591
12,4450,4056649
12,5000,3107652
12,3199,3258848
17,198,13916075
18,1979,50755340
26,1731,469517
26,1494,2076280
18,1001,2419102
18,1793,28389967
18,1362,33960763
18,1231,54769810
