experiment,run,event
24,2185,25357687
26,648,22534780
18,2659,24576979
26,91,13217104
17,132,64535637
26,1731,469517
22,156,43524145
24,1838,1972899
12,6033,5557696
18,1988,2016940
18,2258,592519
18,2634,17556267
16,753,15770583
26,736,29890608
24,956,52670204
24,956,18696834
24,926,721104
24,1646,5682798
20,738,21013295
22,364,97872773
24,866,19366377
16,993,18708721
26,1883,12619944
18,2659,10103000
18,2659,18971745
18,2922,3501343
24,1274,24566565
24,992,35216801
16,1106,59428
24,917,29273
18,750,3787725
12,2859,9743745
12,3754,11694568
26,1475,40747822
24,1236,12098298
24,1869,2099253
24,1783,4665843
16,1002,2039806
17,349,543057
22,604,14439007
24,983,16468214
18,2886,7575491
18,2849,15511207
12,3473,82597426
24,2148,14931968
24,1677,9400300
24,1677,3989074
18,201,163930
18,201,5053688
18,1261,9774391
24,1261,38772407
24,2061,37767120
18,1062,20833594
24,980,15131411
12,2506,12552602
24,1763,8406882
22,373,74773283
24,1624,10901074
18,1037,22458494
12,2879,14745002
24,1344,15702222
12,5150,1716726
14,2000,8748954
18,141,1757210
12,6315,23985829
18,2736,2634373
24,2080,15778394
18,95,42588064
8,1060,642043
18,2250,1797547
24,935,1515688
18,181,45255928
14,1165,569517
22,139,55095580
16,1013,45581842
26,729,1817433
12,6057,17940428
24,813,28521920
24,2199,3278045
18,843,15794318
12,5043,6532774
24,2177,5255310
18,1215,27711605
24,1810,3555018
18,457,7324538
20,749,32168928
16,585,8996758
26,1080,16549050
24,1447,38365493
12,2844,26449255
14,901,15709577
14,1105,1962694
18,771,7076928
24,1873,10041281
18,1324,14771839
22,691,17295328
24,2020,7406952
24,2096,28413831
26,1190,56798146
24,1758,19797308
24,965,441790
18,1685,19741807
18,1456,40176904
18,1456,45413880
18,1456,31415893
24,1554,9333134
18,959,17912088
24,1292,18559124
24,1262,1954984
26,295,6420539
22,553,15206091
14,1149,11856842
12,5247,9517226
10,5702,901058
24,855,12667361
17,102,5495617
14,938,8890577
12,6057,3107652
22,511,3812414
24,808,29700007
22,159,23562966
24,2250,34479775
18,1356,13706067
12,4795,650817
17,272,18997486
26,1480,2417343
22,595,41399041
26,1026,1560756
18,2012,14466266
22,490,16128847
16,671,5628241
16,1097,16297766
24,1559,7621596
24,938,17184560
24,924,1569593
22,407,14674752
14,1002,265743
16,1099,18909917
18,1198,2649858
14,1976,35902528
17,108,9492279
26,648,4289547
22,416,6051053
24,1818,37307962
18,1395,6859065
24,873,16050205
22,156,43540342
14,1162,12945242
22,446,47612643
24,2281,12293718
12,4319,28080653
12,4407,30028649
18,2867,1903031
22,622,5862006
14,1831,7487301
12,5211,15454642
22,149,5513914
17,341,46837197
12,3191,25926285
12,1916,5200496
18,1362,33960763
18,327,40592396
22,69,13392117
14,1797,19741948
26,759,20818247
12,5388,40289231
18,888,1160581
18,1349,26618585
24,916,4648360
24,866,7529916
22,247,2957556
18,1175,51099826
12,1480,3316001
18,173,1182468
18,2984,15065997
12,2451,2014728
18,875,5585296
24,1344,11335383
18,1240,30266076
26,937,5599594
18,181,44179960
18,749,9529681
12,2303,4006889
14,1750,20149876
12,2843,1721630
18,1384,9404987
18,1526,7469689
18,963,26664760
24,1857,6938374
12,4927,42573706
24,1629,11920267
26,773,6553725
12,5936,27042795
24,1263,11779610
24,935,5437212
26,898,18946619
18,2668,18265296
24,1620,3395988
