experiment,run,event
8,133,3838612
18,1532,3688136
12,3471,26687473
16,668,13546371
16,668,9746649
18,852,6164664
18,2260,13624882
22,372,3868258
24,2257,7858044
26,283,7940729
26,353,32495171
18,1848,80948234
24,1257,5524204
14,1780,1762003
18,2806,16225747
26,1828,6554193
22,615,9015823
17,112,42260874
24,1721,11991944
12,5158,26585945
12,2750,36586042
18,1242,4458242
22,139,17940292
12,6424,8017764
18,1848,114315630
16,974,1357352
18,1160,14197012
24,1590,1845497
18,1045,6276572
22,415,9285083
24,2107,7633937
24,858,40671734
24,858,20080953
26,1894,41401411
26,1894,38709968
18,2266,27975715
16,957,60799416
22,56,1683499
16,1066,6634493
24,2042,728658
18,2925,28027585
14,1543,51488768
26,1082,1920041
17,286,76499102
24,1397,2550104
22,446,23431947
18,1215,52165198
18,780,16544270
14,1832,48495402
14,1832,94178217
14,1993,19619568
18,1988,103340725
18,907,20438198
26,989,1788298
24,1272,6096377
18,2634,7624372
24,872,6664525
24,2062,5136181
12,2750,18326086
22,415,7722066
22,383,16097556
12,5349,3723538
12,5349,560338
12,3395,6148541
22,592,18921945
24,1807,33530727
24,876,7388885
16,612,15534996
22,119,13504730
12,3748,27987436
12,5895,1501996
26,1455,4036881
24,1646,15823886
20,633,613405
22,551,27023996
18,2735,27850252
22,39,4587585
12,5158,33990255
12,5424,4117937
26,1768,990835
22,371,18030621
12,1580,4587042
12,3294,23251181
12,2784,859314
24,1548,853299
26,518,361355
26,1518,56943142
18,2922,153462940
22,547,7972522
10,5697,3875221
26,1882,5197778
22,138,5814916
18,181,66018136
22,373,26041987
22,449,54738102
18,1476,6648538
24,2145,13655202
24,1445,4978729
12,3334,1427994
12,6419,78682927
12,3370,8227177
26,1893,14839085
24,1154,8512715
10,5689,7284010
24,1596,18170400
14,1968,21672693
24,2061,33544729
24,809,9881473
24,809,10052163
26,1353,474139
26,568,15139766
26,181,3368102
26,181,11880567
22,139,52404570
18,102,8633046
26,1372,21890962
18,1047,7963822
22,447,5732796
24,814,16353208
18,1323,61516055
18,1323,30745875
26,743,7869193
18,883,72885973
14,786,4852141
18,970,37144756
24,1184,27119928
24,1184,68658331
12,4451,9145962
24,1679,2652705
24,2019,6463950
26,529,25591516
18,1814,7185124
22,518,1714152
24,2083,6016668
17,348,37378952
16,1002,63746135
26,1780,21966138
12,6312,21654898
24,1841,16988847
24,867,22418897
22,438,850898
17,266,4913708
26,1247,5177492
18,1454,7387812
22,721,15522068
16,1012,130061053
17,348,71794419
12,4777,13466225
24,2081,57290639
22,364,15113866
22,159,54643666
24,919,17742353
24,1184,57215125
24,829,5510289
24,878,10184377
18,1051,450496
18,2849,15939013
18,2849,20563379
12,2446,281103
12,3293,26948772
12,2276,4246421
26,1709,15078583
22,381,13763078
12,3309,10641641
24,2148,11038878
18,2731,42977302
24,1605,32408210
24,1818,28492442
14,1575,7344496
12,6373,1998680
12,2422,4797029
24,1261,5239091
24,1336,9586491
24,858,29655572
24,858,35114452
22,461,17141200
22,461,11399143
26,165,12040782
24,2176,27179798
18,2362,16354978
12,4319,32959079
18,846,1697201
24,1225,5003237
18,72,18459070
16,691,74845808
26,185,188634
18,1034,9863132
24,1663,3396725
17,278,1958270
18,1503,31829360
26,898,38373694
12,2555,9018507
12,2555,7807141
24,1332,11710689
12,3176,838128
12,2720,16651941
12,4927,21030058
26,193,14844248
12,2503,537355
24,821,8171203
24,837,6627264
24,990,21724219
14,2000,39313958
14,941,8445659
24,1223,10820914
12,6168,27230262
24,1571,37401271
26,744,17204748
12,2586,4541557
12,2720,15529873
24,1892,20339628
24,2187,14863142
26,919,25861733
22,458,2246583
14,899,1015730
20,641,6596334
20,746,1469881
18,1841,17495025
24,1571,59232471
24,2275,8146186
18,405,2925198
22,180,6698893
18,1917,10080779
24,2061,24615204
24,1859,28532721
24,2060,11904476
24,2060,28034603
12,6030,4814241
12,5146,102088393
18,1062,27074934
12,5928,32170735
18,267,32022914
18,120,21329971
16,595,15743023
14,1745,63132810
24,1203,2685904
12,2755,13063723
22,429,14765599
24,2261,15612735
18,2711,10284760
24,1299,13722600
17,285,78467484
12,3360,3119722
18,2933,104045871
12,6175,17129684
16,660,3841904
24,848,5627461
22,45,16477370
10,4809,3538726
18,913,22653494
14,1738,31642631
18,933,19711073
12,4754,323252
12,5469,16017014
12,4308,18063906
12,2505,3644239
22,174,2494603
16,749,5111173
24,1266,15192039
24,1408,1009245
12,4819,18167451
12,3331,20825909
22,173,15509029
24,1292,19118351
14,1691,1466158
24,947,5726806
22,44,27583264
22,571,5078006
22,690,3132678
24,1643,3428275
18,897,19806130
18,2300,72965875
22,485,21419249
22,485,41997304
22,159,54451490
18,1314,70122693
18,2972,83866553
26,1190,18366707
18,1715,1681645
24,1792,11328389
22,239,6830283
12,2474,4553278
12,3391,35158975
