experiment,run,event
20,449,1549273
20,520,850915
20,521,2614121
20,521,14435225
20,643,13479498
20,644,39997552
20,644,37598166
20,644,41236229
20,644,14045634
20,644,18398414
20,644,32055917
20,644,8365830
20,644,28251519
20,644,36986261
20,644,33356158
20,648,4607722
20,648,9466857
20,649,6094973
20,649,12200402
20,649,29774422
20,649,29350057
20,649,17827763
20,649,17355039
20,649,9436136
20,649,15123117
20,649,18863888
20,651,14160418
20,651,21913428
20,652,13019371
20,652,8048093
20,652,11981363
20,652,16444620
20,654,8692141
20,654,610257
20,656,4337679
20,656,2005245
20,656,12455449
20,664,4636490
20,666,4749571
20,666,2489077
20,539,6508310
20,567,343042
20,667,11597576
20,667,4770287
20,667,4867842
20,671,3314919
20,671,3984382
20,672,941932
20,673,1929896
20,674,14228278
20,674,16181653
20,674,6251281
20,674,7417091
20,675,13256835
20,675,20729102
20,675,7103722
20,676,7848423
20,676,2037233
20,676,12861665
20,678,3669228
20,678,20466986
20,681,1992971
20,681,8300521
20,681,17636077
20,681,5529738
20,682,2595326
20,682,17494170
20,685,1628298
20,738,23294463
20,738,13794160
20,738,52321096
20,738,30656249
20,738,850367
20,748,14432178
20,748,18455148
20,570,6279616
20,749,38274902
20,749,4937390
20,749,24757502
20,749,40477124
20,750,20038127
20,750,11524554
20,750,9647360
20,750,13344373
20,759,4695666
20,760,3812140
20,761,25665047
20,762,2530568
20,762,8514969
20,763,5836859
20,764,8312496
20,764,17004986
20,765,869158
20,765,17278639
20,765,6420756
20,769,10670203
20,769,20901523
20,769,616175
20,770,2962991
20,775,1021005
20,778,2629326
20,778,10108372
20,780,2806867
20,781,1809639
20,788,64156147
20,788,28443369
20,788,22377659
20,581,167375
20,585,5594986
20,790,34043344
20,791,2717661
20,861,9479379
20,861,10144964
20,864,7890576
20,865,23181302
20,865,1542342
20,865,15785905
20,865,14467366
20,866,6562883
20,868,484751
20,868,12307840
20,868,17874989
20,869,4188472
20,871,3236878
20,871,4922092
20,871,21727332
20,871,41824733
20,871,31442180
20,871,41531757
20,871,10644523
20,871,24203257
20,871,40873108
20,872,14847788
20,872,6692545
20,872,12965572
20,872,26701839
20,874,19550600
20,874,5443220
20,874,12718881
20,594,3828788
20,897,4081286
20,897,10315372
20,900,3631921
20,906,8299192
20,916,2336940
20,923,2076973
20,926,8318461
20,926,11132017
20,928,1988485
20,931,5786810
20,933,3227732
20,934,10045504
20,934,4485039
20,936,726618
20,939,10569012
20,939,3487400
20,941,9893386
20,942,4834237
20,942,4162121
20,944,1303507
20,634,304809
20,634,5750311
20,635,3479351
20,636,5346929
20,636,5457211
20,636,1475555
20,637,3824734
20,637,19113401
20,637,28980859
20,637,13857887
20,638,26038420
20,638,16999012
20,640,1590439
20,642,17393199
20,642,570974
20,642,29402005
20,642,18697048
20,642,8050065
20,642,7194082
22,25,521640
22,25,1292298
22,171,23126366
22,171,1029756
22,171,7692284
22,171,8678595
22,172,961482
22,172,2669107
22,173,21706612
22,173,21399430
22,173,17943138
22,173,21721466
22,173,23302923
22,173,20243871
22,175,8538286
22,175,9309916
22,175,4309960
22,175,5736395
22,175,385839
22,175,5045953
22,178,2176214
22,178,2424942
22,178,2788881
22,179,2912666
22,179,21837263
22,179,20610604
22,179,21737004
22,179,9805400
22,179,13973358
22,179,2380474
22,179,16872022
22,179,19837452
22,180,87673
22,180,1021753
22,180,206710
22,181,15038
22,34,9668394
22,34,632764
22,34,11471701
22,34,2138153
22,187,20247097
22,187,9570974
22,187,7844533
22,187,1585435
22,187,10295180
22,187,3461041
22,187,12598027
22,187,24644318
22,187,24765110
22,189,3501683
22,209,9145224
22,209,2707777
22,209,5247441
22,210,26214721
22,210,38521207
22,210,39189917
22,210,24976628
22,210,30832253
22,210,6546715
22,210,24099300
22,210,16076835
22,210,36283050
22,210,28849631
22,210,7331047
22,210,14044113
22,210,25415905
22,210,28526077
22,210,1992903
22,210,12052320
22,210,35948062
22,210,29775694
22,210,37870685
22,219,1952550
22,219,14744022
22,219,17169615
22,219,21453348
22,35,3184308
22,35,4258788
22,35,2556501
22,220,14346123
22,220,881474
22,220,1218605
22,225,9702334
22,225,1489956
22,225,2494905
22,225,15164332
22,226,3060078
22,226,440574
22,227,578822
22,230,1480648
22,230,3964028
22,231,1601618
22,231,6027829
22,232,5332525
22,232,19424167
22,232,1401126
22,232,31597224
22,232,4779517
22,232,19024203
22,232,19092286
22,232,9654980
22,232,2640858
22,232,9896393
22,232,11451957
22,232,21028970
22,232,21784860
22,39,23002318
22,39,8060043
22,39,9665023
22,39,12116014
22,39,19525022
22,39,521518
22,39,9750394
22,239,5878064
22,239,24339814
22,239,7443180
22,239,21026204
22,239,12821332
22,239,5462180
22,239,10316621
22,242,5798982
22,242,4444155
22,242,3353013
22,243,5711134
22,243,3047415
22,243,4297295
22,243,5746909
22,244,5848936
22,244,4318199
22,247,4559716
22,247,16396165
22,247,39540400
22,247,33713614
22,247,37653283
22,247,28643793
22,247,15046564
22,247,31710727
22,247,25934472
22,247,29237057
22,247,26335136
22,39,13239298
22,39,13930018
22,39,4284967
22,39,18513885
22,39,12444485
22,39,10675503
22,39,18868949
22,39,10597809
22,39,14043649
22,39,5755900
22,39,13008787
22,337,2772305
22,337,2170853
22,340,2661691
22,341,7941950
22,341,7391026
22,341,4502923
22,341,17515802
22,341,7097883
22,341,21822886
22,341,1428231
22,341,21677290
22,341,13064123
22,341,10819001
22,342,4055186
22,342,18033409
22,342,9516494
22,342,16393855
22,342,19208146
22,343,3581993
22,343,6952818
22,344,180803
22,344,7623847
22,344,507738
22,344,20233549
22,344,19327577
22,344,34675072
22,344,27858106
22,344,22793075
22,344,23675845
22,344,22122462
22,344,22121277
22,344,27010999
22,344,28420643
22,353,3164086
22,353,15018872
22,40,890082
22,353,23118101
22,353,15271029
22,353,15751220
22,353,22247193
22,362,24974488
22,362,26919821
22,362,18761250
22,362,23326196
22,362,7231884
22,362,32196053
22,362,11777304
22,362,4385059
22,364,90176442
22,364,64369517
22,364,58684059
22,364,44605570
22,364,45163690
22,364,95641110
22,364,71546923
22,364,102026309
22,364,24785005
22,364,33041163
22,364,33769963
22,364,34309100
22,364,87497406
22,364,44676526
22,364,99580817
22,364,31472973
22,364,18621261
22,364,9336013
22,42,2015764
22,364,79818196
22,364,83924806
22,364,76734234
22,364,92444311
22,364,94427314
22,364,102263147
22,364,97859451
22,364,100658572
22,364,30028999
22,364,66789509
22,364,3159347
22,364,52361437
22,364,58983385
22,364,26049069
22,364,73588909
22,364,88275157
22,364,90595897
22,364,47287875
22,364,70767466
22,364,104461892
22,364,104740022
22,364,39613408
22,364,68024975
22,364,41582366
22,364,29053832
22,364,87352865
22,364,94050993
22,366,4809906
22,366,8787768
22,366,7996004
22,366,11269957
22,366,12360352
22,366,2490718
22,44,43373931
22,44,17455993
22,44,25311643
22,44,5656987
22,44,53482105
22,44,35265990
22,44,24350048
22,44,24411768
22,44,4361339
22,44,19185974
22,44,16644337
22,44,20125920
22,44,28932852
22,44,42852735
22,44,8349695
22,26,15872230
22,26,5938343
22,44,27959717
22,44,25346849
22,44,22342147
22,44,32948195
22,44,47632525
22,44,34083211
22,44,34194181
22,45,14542326
22,45,10736418
22,45,13114778
22,45,5472951
22,45,6879641
22,45,19434388
22,47,3719106
22,47,4273171
22,47,3835887
22,47,2002922
22,47,5903822
22,47,6213900
22,47,6375783
22,48,11939
22,49,14539714
22,49,321485
22,49,13274896
22,49,8148751
22,49,14745390
22,54,5716977
22,54,5422138
22,54,5816885
22,54,4514154
22,55,1487183
22,55,3066735
22,55,3098667
22,56,3566493
22,56,2056884
22,59,1286577
22,59,969993
22,59,1330663
22,60,835083
22,60,4519494
22,26,27618382
22,68,3487730
22,68,673974
22,68,5397494
22,68,11538211
22,68,12391431
22,68,2850512
22,69,29737598
22,69,32695968
22,69,3057720
22,69,9996440
22,69,7082976
22,69,28632602
22,69,8184971
22,69,20268743
22,69,21454403
22,69,30939296
22,69,30983282
22,69,18125677
22,69,17814792
22,73,1581809
22,73,3616428
22,83,294002
22,84,1969340
22,84,3057462
22,114,22281246
22,114,29245152
22,114,26233371
22,114,37584816
22,114,39531966
22,114,12469932
22,114,14328026
22,114,36614151
22,114,43300384
22,114,18879954
22,114,37071473
22,114,13761593
22,114,47316983
22,114,47924247
22,114,29382584
22,114,18973749
22,114,20331269
22,114,22128729
22,114,29894653
22,114,8386715
22,114,22769130
22,114,20526403
22,114,26149309
22,114,16899830
22,115,1694082
22,116,73715
22,117,11341368
22,118,38215468
22,118,15482426
22,118,1062924
22,118,21513893
22,118,15142617
22,118,31076380
22,118,17273296
22,118,22432982
22,118,30425528
22,118,4748498
22,118,48474156
22,118,24897558
22,118,31242858
22,118,21070026
22,119,6208713
22,119,13907707
22,119,8344778
22,119,1423580
22,119,755631
22,135,916185
22,138,1345895
22,138,4544843
22,138,3489018
22,27,4573602
22,27,4134123
22,27,1829878
22,27,3813620
22,30,14812275
22,139,62631741
22,139,57932711
22,139,20668395
22,139,55481406
