experiment,run,event
18,1222,12258702
18,1338,10177465
20,923,1331899
18,1419,4955193
26,353,9221424
12,3402,86845785
24,2043,7233171
18,944,28858357
18,1200,6072074
24,2185,25357687
24,2257,8587840
26,648,22534780
26,989,5918009
24,2246,48942737
18,1848,23071819
24,1857,4896532
26,803,6427286
12,4897,7749188
14,871,4495853
24,1191,1536984
12,6014,13414332
12,5355,24445367
12,5470,10788824
14,868,2295715
22,471,10891941
22,157,15701066
22,69,2462215
24,1263,35119313
18,1827,43882309
17,250,18338422
22,581,3169627
18,886,18147407
18,886,20264889
18,2659,24576979
24,1254,1885531
26,91,13217104
12,2750,10555988
26,770,24450867
18,1242,7195633
22,139,56778314
17,132,64535637
17,335,17873165
12,3193,9807379
26,1687,26421922
26,1828,8315564
26,1731,469517
26,1792,3071657
26,1451,14317077
12,6424,22814821
12,3748,11579180
12,4940,5877317
24,1571,57577142
24,1273,713135
17,266,16331954
22,139,55541021
22,156,43524145
12,2212,2887160
18,1827,77583016
18,907,12756237
12,4475,3042758
24,1838,1972899
12,2581,1282875
16,951,23947053
22,576,2339723
26,1446,46267034
26,1446,18029408
8,1307,7957030
8,1307,9215651
26,775,6149634
26,775,12112782
26,767,287621
14,1161,478804
18,1710,8018083
18,1443,3054181
18,2925,5392452
22,68,3472402
18,2933,61687409
24,953,25987142
14,1543,66805545
14,1543,39791976
12,6033,5557696
24,1397,11944498
24,1223,6240631
24,992,973014
10,4808,4545979
18,1215,31778286
24,1222,10858806
12,2562,13733472
12,2562,19088382
24,2060,21070649
24,1195,16291487
24,1184,69598773
26,948,5442985
26,119,12425073
12,4284,13156479
17,229,16918965
24,1807,476
12,5418,22990546
18,327,29492149
18,1423,11635391
12,2275,8569312
22,232,15853793
18,1988,2016940
18,907,25180384
18,2258,592519
26,989,13517511
24,1303,34039247
18,2634,17556267
24,996,370326
18,2642,14282179
18,1314,72239652
16,753,15770583
12,4761,3546180
24,994,31540363
18,893,16709872
18,1218,4759413
26,617,8891626
26,736,29890608
26,663,8007388
16,746,10791177
26,1405,16475529
26,1405,12548170
18,886,31281665
18,1518,7454287
12,2731,35877605
12,4913,41092940
12,4897,65787929
12,5213,57826798
12,5213,2653374
12,6156,7715337
24,1575,777119
26,1379,7155013
24,1807,36958847
26,576,507418
26,848,1489439
17,170,18367072
17,188,5072729
26,1887,6052122
24,1344,18109964
26,1425,16499961
24,1623,1664148
24,1623,2087692
24,2309,10924860
24,956,52670204
24,956,18696834
24,926,721104
26,1475,35405182
24,1646,5682798
20,871,51880139
20,738,21013295
22,364,97872773
20,633,5552010
20,932,1349581
18,2983,21018761
18,2735,26169696
18,131,11499062
12,2847,5255796
24,1404,8938421
12,2800,14936163
12,3303,4263992
24,1899,2334434
24,866,19366377
12,3294,15655566
18,1457,26197464
24,2037,18490318
22,461,27728450
18,1499,3035968
18,2012,30223250
18,1717,29553211
16,993,18708721
16,699,3361837
16,682,25320265
12,2500,485415
14,1997,20853474
26,1883,12619944
26,1372,1457086
18,2659,10103000
18,2659,18971745
18,1486,8601112
22,30,34929619
24,1716,487803
18,1217,11236286
18,1217,15592296
24,1570,419366
26,823,1797822
22,547,10384679
22,438,24108633
18,2922,3501343
18,2922,13700793
24,1193,9968505
26,1237,170190
24,947,8861710
24,1203,17198491
10,5834,3727664
18,2688,11917828
18,967,6201461
24,1818,32133393
24,1816,11237379
18,1845,12217328
18,1764,9474649
24,1195,21795431
26,1823,326463
26,1839,1402933
14,2117,8143747
14,2117,587881
12,5401,9810277
12,5125,9668524
12,6356,12938516
24,1744,17498148
26,1805,4451824
24,808,33593770
24,914,13802921
22,469,9237509
24,1551,1859913
14,729,6152657
12,6216,15095734
24,2183,20726281
18,2687,3600298
24,830,33430947
24,830,27877343
14,1773,1147769
14,753,9601421
26,183,12262529
24,1191,8316469
18,1257,3142981
18,1827,39523402
18,354,14825477
18,1476,7314312
24,1153,138646
24,1205,4436351
24,868,6226796
12,5120,1682697
22,595,17991449
24,2145,16421333
24,2157,409852
24,1154,2816871
22,598,18978535
26,1676,1959827
18,2947,61245314
24,1274,24566565
10,5387,3295310
17,90,5479589
18,1504,5228644
24,1913,22464029
10,3745,892015
10,5542,811074
10,5400,4548513
10,5689,1429381
24,917,3839229
24,992,35216801
26,184,14580309
12,6054,10574095
18,1315,9619837
12,5901,8687501
12,5901,5628163
24,2153,9344822
24,1446,4109759
18,71,3141832
16,1106,59428
18,1701,12419752
24,2196,15461786
24,2196,43806886
17,189,14930453
14,1106,3291338
24,917,29273
24,917,28942136
12,3371,16168283
12,4796,14768722
26,1386,1601567
26,972,976518
18,2954,66663399
24,1787,19753435
24,2060,23525728
18,750,3787725
22,54,2460396
18,2709,8087971
24,2199,14109669
24,2147,1050385
8,1920,2777820
24,1331,759152
18,2885,55588822
26,1897,1612469
18,307,39725615
12,5397,16000957
12,5397,47828483
18,944,42462359
22,447,15209639
12,2859,9743745
24,2247,41948
18,258,201064
18,936,1567462
22,429,10831318
12,2534,27605184
24,794,4535843
24,851,14379548
14,833,3234195
12,3754,11694568
20,916,4758059
10,3654,3387571
24,2073,3330325
22,403,11289590
17,145,3488819
26,1475,40747822
22,577,20411650
22,577,15152798
12,1747,2749747
22,611,38466960
24,1236,12098298
24,1184,54900472
12,4897,26955884
12,4897,12623230
24,2245,18588673
24,1869,2099253
24,1869,813536
24,1783,4665843
12,4927,13532737
12,4927,43251597
18,1243,4281624
12,6222,2469536
18,2922,64218896
26,629,1662495
18,1444,7829838
18,1973,50701554
24,859,33564808
22,518,13036804
14,822,8422915
26,1232,4708811
16,1002,2039806
16,1002,1064050
12,6312,1293545
12,6312,8800368
24,1342,757287
24,1605,32256484
10,5102,877757
10,4719,479458
24,955,13687319
24,955,1316436
18,1988,94045307
26,1466,39189380
18,2705,11558389
22,168,12114670
24,1825,5406462
24,867,15664041
18,836,2325005
18,2948,26892673
18,1450,4084983
12,5468,15879557
12,6270,2655506
12,5160,3301917
12,2849,22066111
18,2260,9675826
18,2260,16707781
22,721,1665946
18,1362,17928037
24,956,34247558
12,4728,16803817
12,3272,7151223
17,348,65961712
17,349,543057
18,2672,12266319
26,1463,13528142
14,885,3000600
18,905,22517503
24,2134,21958558
24,1328,13186502
12,3363,1156296
16,594,6718451
16,687,11932575
22,604,14439007
22,604,14233495
14,2041,7276006
14,2041,7031380
18,1908,1972132
24,983,16468214
18,81,2790474
18,2886,7575491
18,2692,62293265
26,804,2958252
18,1335,95155254
18,1063,12580671
18,2849,15511207
16,1085,51921961
12,3473,82597426
18,1001,2419102
12,3363,30776039
22,578,1213516
22,578,15551871
22,414,12353042
26,674,4236792
12,3293,6741802
26,830,628062
26,117,1547143
26,668,16909224
24,798,30542712
26,1693,3863773
18,2384,17055572
14,1742,22648849
26,1774,2804518
24,2148,14931968
17,107,23908651
26,729,15994217
8,1037,7781768
8,1229,2284880
12,2727,6939759
24,1677,9400300
24,1677,3989074
26,550,1250136
18,1186,6424283
18,1186,458518
18,201,163930
18,201,5053688
12,2422,12521280
18,1261,9774391
24,1261,22980786
24,1261,38772407
24,1336,8093230
24,2245,445180
24,2245,11261278
22,551,9982122
18,360,1797697
26,559,3258847
12,5114,17869993
26,354,12770056
24,2061,37767120
24,1819,15977362
18,1062,20833594
12,2748,18914736
24,980,15131411
12,2506,12552602
24,1763,8406882
18,1482,4356014
18,72,16851264
18,1349,20793680
18,1413,5345252
18,1413,12728899
12,6224,2602655
24,2063,6828640
22,373,74773283
24,1644,20780923
18,1033,12057017
14,735,38656376
14,2056,2455526
18,1034,9319796
17,286,509480
17,278,42059242
12,3363,47535452
12,6033,7162985
24,806,30308559
16,998,52392314
12,2534,126037
22,406,11692720
22,558,14588198
22,558,18618422
22,558,18055589
24,1624,10901074
24,2075,761804
22,485,52053164
24,1667,112464
12,5968,13945145
12,2555,12036840
12,3399,80486308
24,1878,5687061
22,342,24995975
24,1332,2482595
26,588,6297198
18,1037,22458494
17,171,44292549
12,2879,14745002
22,393,395254
18,1386,10108138
26,364,11089512
8,1553,14837186
12,4927,19958412
24,1344,15702222
24,1344,26259592
12,5150,1716726
12,2503,8049080
18,899,24701383
24,983,1716037
24,2080,5011604
12,5148,7425912
24,990,18791255
24,2217,3284260
14,2000,8748954
14,941,13105002
14,941,2078410
14,941,17452818
12,2219,2926011
24,1223,15085093
18,1394,64875043
12,4407,28583226
12,3786,7354497
18,2908,71095097
18,141,1757210
26,1438,41349585
26,1438,60365626
12,6315,23985829
22,247,35665073
22,247,24274837
26,200,13085646
24,1571,53680736
22,490,14484089
18,2736,9900340
18,2736,2634373
16,630,9211436
26,1783,25359611
26,1353,43064791
26,358,2227088
12,2586,8428510
24,2187,3197571
26,651,2578146
22,220,10109552
22,139,37925865
24,2080,19972698
24,2080,15778394
22,458,5299757
22,401,3729277
22,401,2282159
14,899,22529907
14,899,23615505
24,817,14207664
18,1254,8947653
18,95,42588064
8,1539,24604852
8,1060,642043
8,223,5777572
24,2190,8336798
18,1979,32738160
18,899,31173353
18,2250,1797547
12,5125,28276805
12,4819,10091053
12,4770,8951758
17,341,50590880
12,4913,16997693
24,1897,3180072
12,3863,5266053
12,5039,5399794
12,5039,7018310
12,2442,16717857
12,2442,23192408
18,2854,32391037
18,1447,6255256
24,935,1515688
24,1571,46884744
18,2960,794678
18,2960,626194
24,1603,5767236
24,1603,13791876
12,2479,19618297
18,181,45255928
14,1741,56535723
12,4445,2786521
14,1687,11125317
14,1165,569517
12,3461,23993427
22,139,55095580
26,313,1798822
12,5146,81702461
12,5146,49686681
18,398,33851513
12,3896,1827009
24,1181,25450005
24,1215,4339801
16,1013,45581842
26,729,1817433
12,6057,17940428
12,6057,17359740
12,2427,9729970
12,5894,2867737
17,250,26185133
18,267,23608224
22,429,5103321
18,1452,38737365
18,95,22623271
18,120,12087514
12,4891,6987464
16,700,1017945
24,813,28521920
18,792,24644440
18,2280,50221951
18,1784,7290958
26,1721,2034206
24,1574,4459199
24,2199,8572875
24,2199,3278045
14,1832,93976818
14,1832,21165176
14,1832,23972608
14,1832,50214285
24,1203,40598998
18,843,15794318
14,1797,64068815
12,5388,22632606
12,1542,3626167
12,5043,6532774
24,2177,49656969
24,2177,5255310
18,916,29715188
18,398,13859722
24,967,2520763
12,1800,2279137
18,739,7134375
18,1215,27711605
17,285,59714823
18,1396,47552274
18,1396,12320639
18,1419,5582050
12,6022,1119621
12,5130,9258744
24,1810,3555018
24,1810,10040019
14,1712,9091903
12,3360,1286967
18,457,7324538
18,2345,9803546
18,198,12958728
20,749,4640918
20,749,32168928
24,1571,28050553
24,1571,56798718
22,611,37743436
26,1354,3093385
16,585,8996758
26,1080,16549050
24,2276,590811
24,1447,38365493
14,899,11698832
26,1688,33403484
12,2739,1557726
12,3501,19225451
14,759,23633237
18,1453,1862859
17,183,4552275
18,1749,25920862
12,4883,5481739
24,848,5126397
24,1274,32191331
24,1274,32893881
24,1247,1562804
26,1820,14500766
10,3398,2137516
22,438,38799119
18,792,3641030
14,872,30277597
22,232,33699034
12,2251,8609351
18,2910,18537979
18,165,23774548
12,2844,26449255
12,5366,5786277
14,901,15709577
14,1001,267066
12,2728,6298411
18,1372,16956136
26,121,5840678
14,1105,1962694
24,1292,15135029
24,1646,1014206
24,1622,18726243
24,1622,35846904
22,396,42947029
22,551,26885251
22,551,45783979
16,1116,35517883
16,1116,15066050
24,1307,3663998
24,1307,6998483
24,1307,1476365
24,1307,6707165
24,1819,2556719
17,192,30496880
17,192,46546637
26,1080,5129573
24,929,34671253
12,3331,3159738
12,3331,5798089
18,771,7076928
12,4728,4624109
22,173,12844214
14,2047,12479392
24,2196,11476339
24,1873,10041281
24,872,28753689
26,158,8096229
12,4308,21751379
18,1259,9777984
22,44,48606384
18,2775,30256323
18,1324,14771839
17,191,53481669
12,5441,6206815
12,4452,19972905
10,3507,3438936
10,4724,2153884
22,571,6361646
22,398,16844954
12,3211,808635
14,2020,1860086
14,2020,14444407
26,1382,953871
18,227,551709
22,691,17295328
18,136,23557880
12,6056,44923024
26,282,2019306
18,1749,13852240
18,1204,8474470
18,1433,7628926
18,897,14636973
24,2020,7406952
22,598,27296261
24,2094,1773133
12,1651,1959498
12,3275,733800
22,162,14014409
12,4313,10975077
12,5115,11560198
22,41,4019763
12,5219,10186192
24,2096,28413831
26,765,2292539
26,272,2109056
26,1824,43520457
26,1183,44713380
18,2911,26840113
14,1632,9313448
22,593,13262042
22,593,12740677
22,371,19252929
26,1190,56798146
26,543,769284
24,990,2459655
12,4283,13303137
22,247,36441006
22,364,109317082
18,1248,12882
17,313,6629808
24,1758,19797308
18,1342,3856105
18,139,26418930
22,402,24938835
24,965,441790
20,674,4402178
24,1605,15902556
