mu1,mu2,mu3
-0.675941,0.020249,35.013871
1.466491,5.315733,10.075828
1.939840,4.154097,-12.686570
-0.231672,-1.440398,14.245422
-1.055608,0.786609,7.389612
2.277961,5.509639,7.352345
-0.550521,1.635432,-1.317610
6.453599,5.937100,13.776692
1.716308,3.570734,6.397076
4.412143,6.833450,6.618359
1.224501,3.444204,-6.221189
1.260711,0.272318,-11.927943
-2.327956,4.113448,1.786410
3.237039,7.712894,11.216593
1.187991,0.731901,-5.878997
-1.224721,2.414692,26.156090
2.756116,11.501256,-3.055906
2.489309,1.646282,8.050711
2.866307,2.818600,5.162050
-0.012706,-4.066831,3.722039
1.407999,0.580522,13.490082
0.961002,7.682055,4.677553
-0.418042,0.443649,0.954403
1.149323,3.045618,4.988329
2.474058,3.898712,-7.587042
-3.578649,2.494779,14.650068
1.248800,2.760609,2.662278
3.906100,4.382765,-9.262798
-2.834017,1.922509,2.521017
0.453713,3.078440,10.605763
-0.297549,-2.210978,5.631428
7.349494,0.384945,2.146168
-1.445621,3.021658,-0.487241
6.114213,-0.841867,15.834504
-2.095710,-1.117349,2.764902
-1.925521,10.329123,0.027243
0.223383,-0.657974,18.401922
-0.818133,4.858903,-1.704953
-3.448994,7.570115,26.355589
-3.436296,1.765505,1.712154
1.754440,1.627720,7.881375
1.409734,7.862692,4.801912
2.795387,5.617062,3.376716
-2.331090,5.378017,6.904169
-2.786201,-0.569055,-2.896845
-0.210042,4.325991,4.330508
1.409210,-3.744272,-1.033304
-1.878464,4.606201,5.031986
3.197137,4.379209,7.723440
6.262029,7.390201,7.605038
3.514184,-3.227734,7.318970
-2.210991,-2.218663,10.149368
-0.650464,-1.002023,10.103317
2.851129,5.450236,-8.587027
2.679871,6.417187,4.806692
-2.976745,6.384111,0.657033
-0.768502,0.315217,9.124167
7.976044,-1.054407,5.136636
0.288021,7.480521,-5.009315
2.885171,0.177196,8.679519
1.200772,-2.618855,-2.090980
2.731478,6.200970,10.542485
-0.066197,1.607554,12.680371
4.586960,5.304140,-6.939962
2.267212,-0.103379,6.866604
0.183271,9.114596,2.499398
0.653689,5.082969,1.416157
-1.556432,-8.121746,17.257456
3.348834,-5.472015,-4.007707
0.331415,0.659253,2.647474
-0.666848,2.989485,-6.447003
5.477712,6.710202,12.507273
0.519733,3.613957,3.356373
5.552599,-0.667844,10.834614
1.577226,8.965352,-9.482651
-3.511680,6.047415,0.892374
4.128610,4.780528,10.270501
2.054560,5.632772,-2.712489
0.067117,-3.032092,14.688252
0.800888,0.598772,-1.678311
2.217262,3.696103,-3.947749
-3.578961,2.967585,5.453834
3.363661,3.534438,6.425531
6.959933,1.780836,-2.548639
-1.946177,3.556329,-7.044206
3.863032,-0.090544,5.890611
2.163870,13.934588,-6.549250
-0.749720,1.068639,12.528521
2.537034,5.130066,-1.455651
0.962186,-0.484277,13.857913
4.123512,0.563509,-10.724711
-1.546371,8.888896,-9.696528
-0.352146,4.116643,10.962220
1.954518,0.840615,-11.088182
-3.708861,8.585268,1.628796
1.217961,3.662209,0.308384
0.800798,6.561035,19.973160
-3.105967,7.669884,5.542210
-2.654110,6.571427,6.916489
1.431481,11.230933,-2.009825
0.110517,5.651036,-20.024617
-1.491750,3.678736,-3.967102
-1.276172,-2.077387,10.959549
1.937590,0.916678,2.593873
-0.501186,0.620432,-7.342986
2.741465,1.365902,5.583926
4.567181,2.248106,7.364865
5.538874,3.330377,1.516786
2.806372,5.811048,-4.213470
4.188485,6.884047,-2.812818
-1.219228,4.312624,13.450382
-0.041432,1.719883,4.088428
1.285506,-0.135022,10.682042
2.178201,10.362861,-7.246031
0.568130,4.922934,11.892975
-0.231369,2.702259,0.746021
1.928096,8.720470,-8.131241
4.189101,3.010140,-0.046392
1.115683,3.546186,-5.048896
-1.136097,18.273042,0.336714
2.046143,0.072237,5.371721
3.222515,10.330509,10.200048
-0.522539,-7.074518,13.502619
2.533749,4.823690,11.033974
-1.145659,10.578110,-14.119723
-1.584981,2.269781,7.835375
0.891556,3.023311,-9.259393
-2.600724,0.779126,2.890236
-0.202348,7.369845,-4.704859
0.642783,7.299239,-4.240063
-0.796980,6.136535,4.046413
-0.174824,8.475354,9.238911
1.336598,-1.072411,-2.074355
-0.505281,-1.953435,4.579503
1.789573,1.195310,12.976597
-0.258068,1.913327,18.608571
0.223232,-0.748168,-0.502530
-3.074309,3.583664,3.730546
-5.274578,-5.395399,11.005279
0.366349,0.259652,1.942045
5.938979,4.730177,3.071109
1.913056,4.595781,-2.608807
3.323586,-3.677825,5.276993
-0.247212,-2.855773,13.781035
2.527905,3.201456,17.675082
-1.339153,0.674204,9.178915
0.585304,-4.924316,13.251212
-1.229676,3.356940,-0.532218
3.995534,2.940002,-6.488812
1.896971,8.052988,9.011130
1.186754,0.294088,-3.508626
-2.204318,6.766011,14.009631
1.652009,-1.746517,-1.281547
3.416686,8.111418,-0.353421
-1.103327,4.173691,25.489948
-0.816264,9.734296,7.695685
-1.155300,7.112721,14.647790
1.510541,9.466035,11.274018
-0.673955,3.779031,2.155239
-2.383327,-3.465715,7.314606
-0.484907,2.709623,9.068351
1.176576,9.850752,-2.883859
3.206395,5.154734,-7.172886
-3.119561,4.161579,5.108100
-0.635466,3.792028,-11.446092
-0.673177,7.426878,10.223154
-0.263073,-0.408050,15.126208
-3.210237,2.750368,-2.940824
-2.724582,-0.215117,-8.696765
1.347099,0.899451,14.391865
1.019036,-1.299992,0.205297
0.798043,5.509105,-11.279762
1.776280,2.585519,10.298039
0.423604,3.815994,-4.185481
0.315064,1.745956,-1.999025
0.973373,5.656954,11.033507
-1.474527,-5.864110,-0.268218
-0.012042,-4.120376,23.467678
2.165692,9.683487,7.859598
0.943552,3.977981,-0.475151
2.078966,-0.440499,14.240101
0.731773,4.253224,3.205891
4.578411,-0.338374,18.326663
3.074309,1.264269,-7.033872
1.384099,-1.111347,0.261232
4.993518,1.706914,-2.517034
-4.287216,2.263170,15.794564
5.103479,2.957776,3.202496
-0.856668,5.457487,4.199065
-1.585270,2.601978,23.411147
1.222781,-6.967115,20.652868
-0.151600,9.654766,4.682415
-0.835925,6.725139,-3.734713
0.831423,-0.211564,4.980946
-0.782366,-4.095566,14.830477
2.895849,6.368615,-17.824062
-2.130528,3.011607,11.913730
2.006729,8.895891,7.065190
-1.215419,3.108142,-0.024909
0.930936,7.699226,8.809893
1.473104,1.454506,0.444006
1.844742,5.581324,1.646443
1.359134,1.338084,6.459618
2.675172,-0.732233,0.155159
2.447298,6.213275,-10.203158
3.342879,6.049596,-9.745168
-3.226004,7.939677,5.421493
2.819383,-3.911286,2.116239
5.041288,5.912597,6.475872
-2.170332,0.377205,-0.085556
2.737341,2.283408,-7.468463
0.390954,2.343899,0.124995
6.649701,2.595112,9.401906
-0.337203,0.072635,-4.803778
-0.982988,1.699431,6.595333
1.785169,-2.397827,3.002264
-0.394156,-2.065799,11.053586
5.452403,-2.876913,9.269045
0.857432,0.985408,-6.382168
-0.953222,3.841726,-17.363391
-1.171581,5.979992,2.667897
0.462483,-3.630802,13.832249
3.569394,1.881296,-8.464897
-1.214380,11.023063,17.552491
1.299788,3.121794,16.605131
-0.560735,1.331764,9.180343
3.106072,-5.353672,-4.764278
4.459875,-0.885618,10.340489
2.164399,3.482146,27.594047
3.267612,12.622460,2.550122
2.363794,-2.912146,18.455123
-0.206179,-0.866523,-3.997299
4.353611,-2.505810,15.838567
1.892794,-1.083275,10.920294
0.474529,0.526727,12.780644
3.244731,-2.243820,14.438957
-0.543735,5.494732,0.432320
0.354773,3.860392,3.703233
1.604948,-4.443676,7.661459
0.434338,3.056294,-6.300862
0.715437,4.377119,12.610813
2.236384,4.042201,-0.573015
-1.462289,-0.903637,-12.122318
4.035738,2.135077,5.654193
2.216783,-1.297683,11.135008
-0.505833,-0.250106,-4.139118
-1.683918,-0.040444,16.987816
4.057503,7.622901,3.018540
-0.442598,10.595401,-18.612124
-0.684044,7.721790,-6.031609
1.742504,6.235746,-8.618934
0.732788,6.112994,-1.573188
0.660380,-6.963346,10.693226
-0.285214,-0.926586,-1.943457
1.256093,3.345173,16.715613
1.339117,5.775792,28.492011
-1.428314,5.838611,16.685114
-2.308879,1.451876,2.708129
1.418264,-2.035416,-7.028058
3.961573,-2.768812,-9.211193
1.452508,-2.855760,6.461027
-1.629643,3.415733,3.307411
0.356474,0.627139,-7.082167
-0.965547,1.470443,20.794550
1.885219,2.017738,0.784154
0.773770,-6.768215,-0.115571
1.555955,0.240350,18.862101
1.182596,10.400462,-7.713928
0.435586,12.555098,4.901332
0.633685,5.962542,25.359556
-4.136069,-0.072845,19.045555
-0.991254,8.298863,-9.267341
3.762615,3.161262,8.282855
4.872751,3.773790,-13.762126
2.921250,-1.210542,-1.107771
-0.307478,-1.740839,37.750780
1.079649,3.381089,-2.400139
4.530916,3.146497,5.442180
-2.864805,5.213451,13.061225
5.889288,-3.159941,30.448653
0.130226,2.597361,-9.713014
0.361095,9.057870,-7.936186
2.447993,0.958731,-13.613931
-2.046863,6.019774,2.565823
-1.792539,6.753153,4.983149
-0.071796,9.057947,-3.381166
5.222520,4.417482,-2.756223
1.842151,5.212970,1.664343
0.585475,8.992437,-3.623458
0.428479,-5.016850,-1.005612
-0.126663,-2.296929,18.314763
-2.203998,6.892077,4.052586
2.237169,-4.387278,21.747972
4.147819,0.481279,5.191860
2.174873,-0.944773,-1.982472
2.737434,-3.112738,7.942722
4.499114,6.524611,-5.163200
3.041230,3.754336,21.068992
1.177305,3.895418,-2.914922
-2.570627,0.051569,7.959304
-0.054496,3.044329,3.071207
1.415859,-3.868500,18.140098
2.055986,8.668634,-3.943414
0.630290,1.671244,-2.642061
2.895802,-1.598723,26.458776
4.249502,2.972375,29.684837
3.509934,-2.502491,9.360558
0.661513,6.243249,-0.299488
-2.313630,2.127436,6.379108
1.957951,6.360179,16.120284
0.280375,4.909857,3.870841
1.779221,0.645815,6.715674
4.102844,4.038303,10.533114
-5.368241,8.291899,-14.103088
0.466958,4.944031,12.500845
-2.343803,1.761932,6.049625
-0.089323,0.970902,-2.800146
0.929295,5.783627,15.771695
2.922973,1.379275,1.267424
2.639249,-2.538035,12.884875
-0.286512,1.156117,10.017430
-1.747273,13.336005,5.065005
-3.119987,-5.352052,11.946968
0.685377,-2.175432,19.473071
-1.111670,-4.447799,7.866676
2.000659,-1.560267,-8.666567
5.538258,-8.337468,1.572477
1.132703,2.252338,-0.355170
6.153884,3.073027,4.249508
-1.988362,-0.858912,7.621423
0.763275,7.307162,-18.261748
-4.017842,7.000658,19.430220
2.927470,3.037939,-9.093639
7.310313,2.732279,28.420207
2.879850,6.992142,2.428193
0.742769,10.210467,0.662820
5.093460,2.235575,-0.004987
2.613126,0.827008,-5.166387
1.110894,0.281170,18.455905
0.806179,1.941176,28.695819
-5.069613,6.749252,1.901088
1.954226,5.249783,0.331104
5.757884,-0.345745,9.193295
2.303073,0.392976,0.457905
0.095705,1.983059,5.381894
-3.105051,-0.708280,11.316754
-1.842665,3.544111,-7.414521
0.485948,5.820208,-2.787510
2.918580,0.499875,-4.322552
0.969912,3.676420,15.011421
3.886252,2.849347,4.735322
4.278274,2.004980,-9.626341
2.323539,6.201755,11.463376
-2.219108,10.703044,32.697961
0.959978,1.465719,9.324871
2.958607,5.319324,22.702758
1.875573,2.718682,-7.781755
1.410292,8.150537,-3.870701
0.724051,1.557787,11.125923
5.813178,-1.114107,2.481492
1.270549,3.428209,14.975133
-3.006529,2.896411,-6.750968
0.749519,2.744733,1.859919
3.101987,0.503963,1.952904
-1.114716,7.401043,10.987309
1.355208,2.626767,5.961868
-0.104032,3.889451,0.041509
2.970651,5.771774,3.610725
-1.112943,0.587927,8.885598
-1.737332,3.415863,-7.926991
1.051315,-6.230779,17.183122
1.405629,4.371210,-5.370773
-0.043680,2.368844,18.406490
-1.716249,1.556181,3.255395
-1.229516,-0.630838,-10.540834
6.434631,0.820774,8.618539
-0.218607,-1.411964,9.522058
1.662574,11.351945,8.462970
3.473604,-2.091902,-8.598710
0.530500,3.015946,7.731722
4.549820,2.729071,10.487653
-1.696346,6.208468,-3.229229
-0.422554,-2.968205,19.062908
3.755177,3.979253,7.778498
1.212275,1.466335,12.451530
0.396856,1.375533,-6.863925
0.198572,9.565849,-4.523477
0.786061,1.594674,12.363055
4.025311,0.796348,14.374424
3.902611,-1.043590,5.614701
3.146617,9.478267,-0.609630
1.919915,3.288655,3.375294
3.813286,-7.232267,-4.671246
0.771165,0.927972,-3.161121
3.155122,2.785027,13.609067
-1.999819,0.072158,1.540027
1.892091,-5.906507,21.245479
5.142281,-0.461198,9.241054
-0.122677,4.531387,15.982104
-1.079622,-1.640146,11.823183
2.227131,1.224595,12.062021
-1.699184,5.448989,-2.893720
3.458828,5.816274,7.327251
-4.276864,5.269224,-4.127167
-3.529989,1.592015,-5.612478
-0.935072,6.748776,7.915902
3.278122,2.855813,16.607232
-0.475306,-3.839983,15.161320
0.219485,3.728633,7.210400
1.968634,0.249000,7.686003
-0.824347,3.032090,3.287573
1.497443,10.304036,-10.751728
0.869774,1.006019,7.095517
0.503831,6.589017,0.000875
-0.506416,10.001437,-10.927619
2.689372,8.760998,-5.316626
-2.043954,4.222739,0.729070
-2.919185,10.359172,-0.903450
-0.286597,-1.102795,13.281224
-1.104635,5.210980,0.361368
4.427994,1.990687,-8.299782
-0.817618,3.029979,-8.713083
-1.066832,0.104833,1.923750
6.899395,10.566627,-15.434837
-4.458544,7.871935,7.158330
0.917370,4.012848,17.709227
0.832455,-0.163364,4.861134
1.998738,1.788897,-0.489465
-1.605592,-1.051021,3.495977
-0.955030,5.579946,20.518991
1.483364,4.402423,14.710545
0.996583,-3.575006,13.663180
-0.009657,6.326255,3.437495
-2.560638,-0.422915,21.642228
-0.592286,-2.904488,3.027613
3.729305,-2.042889,-9.518365
0.307927,-1.036160,11.723422
-2.344766,6.195756,5.214438
2.055073,6.687631,-8.922805
4.807165,1.778178,16.049934
-3.434451,2.876686,11.764965
-1.159185,-0.147021,-1.816152
2.288500,-2.445537,2.912709
